tmdb_id,title,release_date,runtime,budget,revenue,cast,crew,countries,genres,production_companies
1655812,夺命传说,2000-01-01,0,0,0,"['Blackie Ko Sau-Leung', '俞可欣', 'Yolande Yau Pui-Ling', '钟国强', '吴紫妍', '高可欣', '曾国强']","['Kenneth Lau Hau-Wai', 'Kenneth Lau Hau-Wai', 'Kenneth Lau Hau-Wai', '丘燕平', '陈耀华', 'Chan Yiu-Ming', '高永齐']","['CN', 'HK']",['Drama'],['International Film Limited']
1648260,死角邊沿,2000-01-01,0,0,0,"['Simon Lui Yu-Yeung', '李宗茂', 'Raymond Wong Ying-Wah', 'Wong Mei-Wah', 'Ngai Wai-Man']","['Kenneth Lau Hau-Wai', 'Kenneth Lau Hau-Wai', '丘燕平', 'Kenneth Lau Hau-Wai', '陈耀华', 'Chan Yiu-Ming', '高永齐']",['HK'],['Crime'],['International Film Limited']
1630613,"Expédition Khumbu-Khola : André Payraud, le nageur de l'Everest",2000-01-01,52,0,0,['André Payraud'],"['Jean-Luc Gantner', 'Jean-Luc Gantner', 'André Payraud']",['FR'],"['Documentary', 'Adventure']","['Odyssée', 'Grand Large Productions']"
1581683,Open Studio,2000-01-01,14,0,0,"['Sharron Shayne', 'Erinn Strain']","['Barbara Ryersen', 'Barbara Ryersen', 'Barbara Ryersen', 'Maria Brundige', 'Kenneth Wheatley', 'Maria Brundige', 'Barbara Ryersen', 'Carol Underhill', 'Sarah Levy', 'Bruno Coon']",['US'],['Drama'],[]
1579221,The Land That is Not,2000-01-01,18,0,0,"['Christiaan Klasema', 'Betsy Torenbos', 'Stefano Odoardi', 'Lisa Veerke Spooren']","['Stefano Odoardi', 'András Kalmár', 'Reyn van Koolwijk', 'Reyn van Koolwijk', 'Tarek', 'Stefano Odoardi', 'Casper Wijnberg', 'Tunde F.', 'Paul Jan Jacobs']",['NL'],"['Mystery', 'Fantasy']",['DasArts']
1552583,Show Me the Aliens!,2000-01-01,0,0,0,"['Devin Crowley', 'Kim Reinle', 'Steve Hermanos', 'Kirk Davis', 'Ruth Moore', 'Aaron J. Rudelson', 'Denny Siegel', 'M. George Stevenson']","['Devin Crowley', 'Devin Crowley', 'Steve Hermanos', 'Devin Crowley', 'Philip Farha', 'Steve Hermanos', 'Jon Miles', 'Nelson Ryland', 'Kirk Davis', 'Ben Wolf']",[],"['Drama', 'Fantasy']",[]
1430035,Genesis - Six Hours Live 1972-1980,2000-01-01,0,0,0,"['Peter Gabriel', 'Mike Rutherford', 'Phil Collins', 'Tony Banks']",['Phil Collins'],['GB'],['Music'],[]
1426901,Parades amoureuses,2000-01-01,0,0,0,[],"['Jean-Gabriel Périot', 'Jean-Gabriel Périot']",[],[],[]
1401513,Little Dogs On The Prairie: A Lotta Love And A Little Off The Top,2000-01-01,30,0,0,"['Will Ryan', 'Debi Derryberry', 'Grey DeLisle', 'Nathan Carlson', 'Phil Lollar']","['Jeff Parker', 'Jeff Parker', 'Nathan Carlson', 'Phil Lollar']",[],['Animation'],[]
1308470,One Star,2000-01-01,22,0,0,[],['Hideto Ishii'],[],[],[]
1306124,Intimated Diary,2000-01-01,2,0,0,[],['Jean-Gabriel Périot'],['FR'],['Documentary'],[]
1299376,Gramaglia,2000-01-01,19,1000,0,"['Floy Bossinas', 'John Gramaglia', 'Andrew Gurland', 'Andrea Ruth']","['Huck Botko', 'Andrew Gurland', 'Andrew Gurland', 'Huck Botko', 'Kevin Napier']",['US'],['Comedy'],[]
1293251,Peau De Boxeur,2000-01-01,52,0,0,"['Jean-Charles Skarbowsky', 'André Zeitoun']","['Pierre de Nicola', 'Lara Malfet', 'Steve Balestreri', 'Steve Balestreri', 'Sébastien Roy']",['FR'],['Documentary'],"['Antea Productions', 'Télé Toulouse (TLT)', 'CNC']"
1284763,Diary: Backstreet Boys,2000-01-01,0,0,0,"['AJ McLean', 'Howie Dorough', 'Nick Carter', 'Kevin Richardson', 'Brian Littrell']",[],[],"['Music', 'Documentary']",[]
1278113,Playing the Field: Sports and Sex in America,2000-01-01,0,0,0,[],['Frank Deford'],['US'],['Documentary'],['HBO Documentary Films']
1271193,(Je suis une) VIDÉOMACHINE - Zabriskie Point,2000-01-01,0,0,0,['François Bégaudeau'],"['Xavier Esnault', 'Sophie Proux']",[],['Documentary'],['Dialektik Records']
1264486,Tadeus,2000-01-01,0,0,0,[],"['Philippe Jullien', 'Jean-Pierre Lemouland']",[],[],[]
1262904,Fascination,2000-01-01,79,0,0,[],[],[],[],[]
1262358,Tony Hawk's Trick Tips Volume I: Skateboarding Basics,2000-01-01,53,0,0,"['Tony Hawk', 'Kris Markovich', 'Brian Sumner']",[],['US'],[],['900 Films']
1256170,Naughty Office Lady: Don't Pull Out Until Morning,2000-01-01,63,0,0,"['Yumeka Sasaki', 'Yohta Kawase', 'Megumi Matsushita', 'Shiori Kawamura', 'Masataka Matsubara', 'Airi Tanaka']","['Mitsuru Meike', 'Naoko Nishida', 'Hiroshi Ito', 'Haruhiko Arai']",['JP'],['Romance'],['Shintoho Pictures']
1249309,Playboy's Playmates Bustin' Out,2000-01-01,57,0,0,['Jenny McCarthy'],[],[],[],[]
1249263,The Girls Down Under,2000-01-01,60,0,0,[],[],[],[],[]
1239240,Love,2000-01-01,6,0,0,[],['Agamurad Amanov'],['RU'],['Animation'],['Shar Studio']
1222858,50 minutos e 23 segundos com Júlio Bressane,2000-01-01,0,0,0,['Júlio Bressane'],['Geraldo Sarno'],[],['Documentary'],[]
1222243,History of Christianity,2000-01-01,154,50000,0,"['Timothy George', 'Ken Osborne']","['Timothy George', 'Timothy George', 'Timothy Banks', 'Gregg S. Morrison', 'John W. Harris', 'Maria Demeshkina Peek', 'Bill Mauldin', 'Mona Hurlbut Fisher']",['US'],['Documentary'],['Vision Video']
1219958,Twister: A Musical Catastrophe,2000-01-01,128,0,0,"['Ken Kesey', 'Phil Deitz', 'Karen McCormick', 'Ken Babbs']","['Ken Kesey', 'Ken Kesey', 'L. Frank Baum']",['US'],"['Fantasy', 'Comedy', 'Music']",['Key-Z Productions']
1213717,Tokyo Bound,2000-01-01,52,0,0,['Akechi Denki'],"['Maxx Ginnane', 'Susan Lambert', 'Zenon Kohler', 'Maxx Ginnane', 'Susan Lambert', 'Reva Childs']",['GB'],['Documentary'],"['Jumping Dog Productions', 'Channel 4 Television']"
1206012,Sissy,2000-01-01,27,0,0,"['Charles Colbung', 'John Collard', 'John Fitzgerald', 'Anna Mae']","['Brian Beaton', 'Debbie Gittens', 'David Jowsey', 'Debbie Gittens', 'Leighton De Barros']",['AU'],['Documentary'],"['Reel Images', 'Australian Broadcasting Corporation']"
1187834,Cuban Roots/Bronx Stories,2000-01-01,57,0,0,['Pablo Elliot Foster'],"['Diana-Elena Matsoukas', 'Rafael Parra', 'Oscar Hernández', 'Pam Sporn', 'Pam Sporn', 'Pam Sporn']","['US', 'CU']",['Documentary'],['Third World Newsreel']
1166391,Love Warrior Pantheon 2000,2000-01-01,47,0,0,['IZUMI'],['Hironobu Nakashima'],['JP'],"['Horror', 'Science Fiction', 'Action']",['Center Island']
1157621,Avenger,2000-01-01,0,0,0,"['Lung Fong', 'Bonnie Lai Suk-Yin']",['Tony Lou Chun-Ku'],[],[],[]
1154175,Incidental Journey,2000-01-01,60,0,0,[],"['Jo-Fei Chen', 'Yeh Ju-feng', 'Jo-Fei Chen']",[],[],[]
1152249,Penthouse:  Girls of Europe,2000-01-01,0,0,0,[],[],[],[],[]
1150179,D7 SDU,2000-01-01,0,0,0,"['Max Mok Siu-Chung', 'Austin Wai Tin-Chi', 'John Ching Tung']",['Jeffrey Chiang Ka-Chun'],[],[],[]
1135971,Zap!,2000-01-01,0,0,0,[],['Belmin Söylemez'],['TR'],[],[]
1135562,Wicked Tricks,2000-01-01,0,0,0,"['Roy Cheung Yiu-Yeung', 'David Lam Wai', 'Eugina Lau Mei-Guen']",['Lin Chan-Wai'],[],[],[]
1111729,Mee! Christmas,2000-01-01,23,0,0,"['Peter Fernandez', 'Corinne Orr', 'Jean Richards', 'Larry Robinson', 'Oliver Wyman']","['Michael Schelp', 'Akane Takiura', 'Michael Schelp']",['US'],"['Animation', 'Fantasy', 'Science Fiction']",[]
1111413,Film with a Girl,2000-01-01,9,0,0,[],"['Daniel Šuljić', 'Daniel Šuljić']",['YU'],['Animation'],['Zagreb Film']
1110302,When the Mountaineers Make Their Cinema,2000-01-01,47,0,0,"['Joseph Vallot', 'Jean Afanassieff', 'Laurent Chevallier', 'Marcel Ichac', 'Gaston Rébuffat', 'Georges Tairraz II', 'René Vernadet', 'Alain Pol', 'Lionel Terray', 'Christophe Profit']","['Claude Francillon', 'Claude Francillon']",['FR'],['Documentary'],['Migoo Production']
1083277,Jean-Marie Tjibaou ou le rêve d'indépendance,2000-01-01,58,0,0,"['Jean-Marie Tjibaou', 'Bernard Langlois', 'Bernard Pons', 'Edgard Pisani', 'Philippe Legorgus', 'Paul Neaoutyne', 'Adèle Joredie', 'Jacques Lafleur', 'Jean-Pierre Aïfa', 'Marie-Claude Tjibaou']","['Brigitte Whaap', 'Medhi Lallaoui', 'Corinne Godeau', 'Martine Caillard', 'Serge Kochyne', 'Medhi Lallaoui']","['FR', 'NC']",['Documentary'],"['Mémoires Vives productions', 'La Sept-Arte']"
1074793,The Seed,2000-01-01,10,0,0,[],"['Oleksandr Hunkovskyi', 'Oleksandr Hunkovskyi', 'Oleksandr Hunkovskyi', 'Ihor Poklad', 'Vadym Pashkevych', 'Iryna Serhieieva']",['UA'],['Animation'],['Ukranimafilm']
1074338,Lip the Airplane,2000-01-01,10,0,0,[],"['Natalia Marchenkova', 'Serhii Sashnikov', 'Oleksandr Sparynskyi', 'Svitlana Kutsenko', 'Oleh Pedan', 'Oleh Tsurikov', 'Natalia Marchenkova', 'Yevhen Alyokhin', 'Yuna Sribnytska', 'Viacheslav Kylynskyi']",['UA'],['Animation'],['Ukranimafilm']
1074120,Buhddist,2000-01-01,0,0,0,['Hugo Ng Doi-Yung'],"['Hugo Ng Doi-Yung', 'Tats Lau Yee-Tat']",['HK'],[],['Pro Film Limited']
1065271,The Napoleon Murder Mystery,2000-01-01,47,0,0,['Frank Müller'],"['Noah Morowitz', 'Noah Morowitz', 'Melissa Jo Peltier']",[],"['History', 'Documentary']",['MPH Entertainment Productions']
1061520,L'Ambroisie : les secrets de cuisine de Bernard Pacaud,2000-01-01,51,0,0,['Bernard Pacaud'],"['Frédéric Laffont', 'Jean-François Giré', 'Pascal Jimenez', 'Jean-Philippe Goude']",['FR'],['Documentary'],"['Interscoop', 'France 3']"
1056773,Hello to Everyone,2000-01-01,79,0,0,"['Anatoli Mateshko', 'Victoria Malektorovych', 'Oleh Prymohenov']","['Dmytro Tomashpolskyi', 'Dmytro Tomashpolskyi']",['UA'],['Mystery'],['Dovzhenko Film Studios']
1047963,Can't Drag Race with Jesus,2000-01-01,2,0,0,[],"['Bill Plympton', 'Bill Plympton']",['US'],['Animation'],[]
1044595,Seaman,2000-01-01,56,0,0,[],['Huang Hsin-yao'],['TW'],['Documentary'],[]
1042721,Ghost of Stephen Foster,2000-01-01,4,0,0,[],"['Raymond S. Persi', 'Matthew Nastuk']",[],"['Animation', 'Music', 'Comedy', 'Fantasy']",[]
1033195,The Rape of Ganymede,2000-01-01,10,0,0,[],['Tom Whitman'],['US'],['Animation'],[]
1032542,Rick and Steve the Happiest Gay Couple in all the World: Menage a Twat,2000-01-01,8,0,0,"['Shaughn Buchholz', 'Misti Chamkunthod', 'Adrienne Pearson', 'Guinevere Turner']",['Q. Allan Brocka'],['US'],"['Animation', 'Comedy']",[]
1032530,Rick and Steve the Happiest Gay Couple in all the World: Potty Mouth Training,2000-01-01,7,0,0,"['Shaughn Buchholz', 'Misti Chamkunthod', 'Adrienne Pearson', 'Guinevere Turner']",['Q. Allan Brocka'],['US'],['Animation'],[]
1015635,The Princess of Huan Zhi,2000-01-01,0,0,0,"['Jimmy Wong Shu-Kei', 'Lily Chung Suk-Wai', 'Bobby Yip Kin-Sang', 'CoCo Chow Ka-Yu']",['Sun Kam'],['HK'],"['Drama', 'History']",['Star International']
1011182,Close Encounters: Proof of Alien Contact,2000-01-01,50,0,0,['Gordon Cooper'],"['Chris Wyatt', 'Lela Vandavier']",[],['Documentary'],[]
996049,Premiata Pasticceria Bellavista,2000-01-01,0,0,0,"['Vincenzo Salemme', 'Carlo Buccirosso', 'Maurizio Casagrande', 'Nando Paone', 'Ombretta Ciccarelli']",[],[],[],[]
983909,Gavetta,2000-01-01,7,0,0,"['Sonia Aquino', 'Max Bell', 'Massimo Pau']","['Craig Bell', 'Massimo Pau', 'Giancarmine Arena', 'Carmelo Patrono', 'Barbara Cifali']",['IT'],"['War', 'Drama']","['Studio Battistelli', 'The Film Company S.r.l']"
959837,The Debt from Baden Baden,2000-01-01,85,0,0,"['Nenad Jezdić', 'Jadranka Nanić', 'Miodrag Milovanov', 'Ivan Jagodić', 'Boris Komnenić']","['Slobodan Ž. Jovanović', 'Miodrag Đorđević']",['YU'],"['Drama', 'TV Movie']",['Radiotelevizija Beograd']
956153,"René Vautier, le maquisard à la caméra",2000-01-01,0,0,0,"['René Vautier', 'Nasredine Guénifi']","['Nasredine Guénifi', 'Nasredine Guénifi']","['DZ', 'FR']",['Documentary'],[]
923893,Brad Pitt & Jennifer Aniston: Hollywood's Couple of the Year,2000-01-01,51,0,0,"['Brad Pitt', 'Angelina Jolie']",[],['US'],['Documentary'],[]
922327,The Song of the Earth,2000-01-01,49,0,0,"['David Attenborough', 'Katy Payne']","['Grant Sonnex', 'Grant Sonnex', 'David Attenborough']",[],"['Documentary', 'TV Movie']",[]
919210,Hollywood Remembers Audrey Hepburn,2000-01-01,0,0,0,[],[],[],[],[]
913295,Amorce,2000-01-01,0,0,0,"['Valérie Allain', 'Vincent Dariosecq', 'Betty Assenza', 'Pierre Pellet']","['Luc Wouters', 'Luc Wouters', 'Aline Danger']",[],"['Comedy', 'Drama']",['GREC']
910672,Strawberry Cake,2000-01-01,99,0,0,"['Uğur Polat', 'Yasemin Kozanoğlu', 'Yeliz Tozan', 'Işık Aras', 'Teoman Mermutlu', 'Taner Barlas', 'Kerem Kupacı', 'Akasya Asıltürkmen', 'Gürhan Elmalıoğlu', 'Beste Yüvrük']","['İrfan Tözüm', 'Çağan Irmak', 'Sedat Karadeniz', 'Çağan Irmak', 'Erdal Kahraman']",['TR'],"['Drama', 'Romance']",['Muhteşem Film']
910377,Wild Costa Rica,2000-01-01,44,0,0,['Jay O. Sanders'],"['Alex Gregory', 'Alex Gregory', 'Ann F. Kim', 'Doug Bertran', 'Beth Gallagher', 'Jennifer Granger', 'Alex Villegas', 'Leigh R. Harrison', 'Tom Halasz', 'John Grether']",['US'],['Documentary'],"['ABC/Kane Productions International', 'BBC', 'Trebitsch Produktion International GmbH', 'PBS']"
888096,Monsignor Martinez,2000-01-01,18,0,0,"['Ivo Cutzarida', 'David Herman', 'Rene Rivera', 'Matt Bradford', 'Dana Case', 'Michael McCafferty', 'Don McManus', 'Sophia Santi', 'Franco Velez', 'Adam Vernier']","['Jim Dauterive', 'Mike Judge', 'Greg Daniels', 'Mike Judge', 'Robert Alonzo', 'Robert Alonzo']",['US'],"['TV Movie', 'Action', 'Comedy']",['Stu Segall Productions']
880144,Insatiable Coeds,2000-01-01,76,0,0,"['Katherine ""Kat"" Hare', 'Brandy Miller', 'Tess Broussard', 'Brandy Davis', 'Gabriella Hall', 'Landon Hall', 'Tammy Parks', 'Dana Plato', 'Ashlie Rhey', 'Rochelle Swanson']","['Mac Barns', 'Cybil Richards']",['US'],['Drama'],['Twilight Entertainment']
860556,Flies on Cupid,2000-01-01,90,0,0,"['Jon Polito', 'Donna Barnes', 'Morgan Daniel', 'Shane Conrad', 'Rhonda Le']",['Morgan Daniel'],['US'],['Comedy'],[]
841369,Perra maldita,2000-01-01,0,0,0,[],[],[],[],[]
841368,El regreso de las cobras negras,2000-01-01,0,0,0,[],[],[],[],[]
841367,Comandante Cuerno de Chivo,2000-01-01,0,0,0,[],[],[],[],[]
841366,Ulises y la puerta de los titanes,2000-01-01,0,0,0,[],['Pancho Rodríguez'],['MX'],[],[]
841365,El botas de avestruz,2000-01-01,0,0,0,[],[],['MX'],[],[]
841364,La maldición de los Fernandez,2000-01-01,0,0,0,[],[],[],[],[]
841363,Con el valor en la sangre,2000-01-01,0,0,0,[],[],['MX'],[],[]
841362,Los dos cabrones,2000-01-01,0,0,0,[],[],[],[],[]
841258,Drogadictos quemando chiva,2000-01-01,0,0,0,[],[],[],[],[]
841186,Secretarias privadísimas,2000-01-01,0,0,0,[],['René Cardona Jr.'],[],[],[]
841169,Dos plebes,2000-01-01,0,0,0,"['Horacio Almada', 'Magi Avila', 'Emilio Franco', 'Bernabé Melendrez', 'Javier Olguin', 'Amador Granados', 'John Solis']",['Jorge Reynoso'],['MX'],[],[]
841168,Cuando hierve la sangre,2000-01-01,0,0,0,[],[],[],[],[]
841167,Entre perico y perico,2000-01-01,86,0,0,"['Gerardo Albarrán', 'Vanessa del Rocío', 'Hugo Stiglitz', 'John Solis', 'Valentín Trujillo', 'José Luis Chávez', 'Tomás Osuna', 'Filiberto Parra']","['Manuel Ramírez', 'Jorge Victoria']",['MX'],"['Action', 'Drama']",[]
841166,Operación coyote,2000-01-01,0,0,0,[],[],[],[],[]
841165,Niños ratas,2000-01-01,0,0,0,[],[],[],[],[]
841164,El navegante,2000-01-01,0,0,0,[],[],[],[],[]
841163,La venganza del marihuanero,2000-01-01,0,0,0,[],[],[],[],[]
841162,Dos michoacanos vs. dos colombianos,2000-01-01,0,0,0,[],[],[],[],[]
841161,Te ando buscando pa' partirte la madre,2000-01-01,0,0,0,[],[],[],[],[]
841160,La avioneta amarilla,2000-01-01,0,0,0,[],[],[],[],[]
841159,Rata callejera,2000-01-01,0,0,0,"['Claudia Bernal', 'Jesús Briones', 'Jorge Luke']",['Óscar González Iñiguez'],['MX'],[],[]
841158,Los 2 compas,2000-01-01,0,0,0,[],[],[],[],[]
841157,V.I.H.: El muro del silencio,2000-01-01,0,0,0,[],['Raymundo Calixto Sánchez'],['MX'],['Drama'],[]
841156,Los caifanes de Tepito,2000-01-01,0,0,0,[],[],[],[],[]
841155,Prostitucion y sida II,2000-01-01,84,0,0,"['Andrea Aguirre', 'Mario Almada', 'Guadalupe Arce', 'Azul', ""Roberta d'Nero"", 'Luis Gatica', 'Suky Lem', 'Roberto Montiel', 'Flavio Peniche', 'Carlos Perez Cruz']","['Jorge Ortín', 'Ignacio Rinza', 'Alberto Granados', 'Fabian Paniagua', 'Carlos Perez Cruz', 'Felipe Pérez Arroyo', 'Salvador Abrego', 'Karla Acosta', 'Jesús Galindo', 'Arturo Solis Zapata']",['MX'],['Thriller'],['Mexcinema Video Corp.']
841103,El narco naco II,2000-01-01,0,0,0,['Alfonso Zayas'],[],[],[],[]
841100,Texana cien X #5,2000-01-01,0,0,0,"['Alexis Ayala', 'Eleazar García Jr.', 'Harry Geithner', 'Claudia Pichardo', 'Juan Manuel Azcona', 'Marco A. Orozco', 'Yurith Valencia']",[],['MX'],[],[]
